"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 13 02:43:30 UTC 2026","Sun Sep 13 02:43:30 UTC 2026","292","tests.APITests.Web_App_tests","test_AI_Chatbot","TestAI_Chatbot","","","Validate list of user chats in a session","Test fetching session chats and validating the response structure."
"passed","Sun Sep 13 03:06:24 UTC 2026","Sun Sep 13 03:06:28 UTC 2026","3420","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingEditAPI","","","Food logging API: PUT edit of a nonexistent meal id returns an error","Checks PUT /api/v1/meals/{id} with a well-formed but nonexistent ObjectId returns 422 rather than succeeding."
"passed","Sun Sep 13 03:02:16 UTC 2026","Sun Sep 13 03:02:19 UTC 2026","3429","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingValidRequests","","","Food logging API: the response includes a meal id","Checks a successfully logged meal's response includes a non-empty _id field."
"passed","Sun Sep 13 02:57:58 UTC 2026","Sun Sep 13 02:58:20 UTC 2026","21853","tests.APITests.Web_App_tests","test_NewUser_2","TestNewUserRoleWithNoOnboarding","","","test_Create_NewUser",""
"passed","Sun Sep 13 02:56:56 UTC 2026","Sun Sep 13 02:57:06 UTC 2026","9957","tests.APITests.Web_App_tests","test_MyMeals","TestMyMeals","","","test_Create_MyMeals",""
"passed","Sun Sep 13 03:02:50 UTC 2026","Sun Sep 13 03:02:58 UTC 2026","7980","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingValidRequests","","","Food logging API: DINNER meal_type is accepted","Checks logging a meal with meal_type DINNER returns 200."
"passed","Sun Sep 13 03:04:04 UTC 2026","Sun Sep 13 03:04:05 UTC 2026","579","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingFoodValidation","","","Food logging API: a missing food object is rejected","Checks omitting the food object entirely is rejected with a 422 validation error."
"failed","Sun Sep 13 02:56:05 UTC 2026","Sun Sep 13 02:56:09 UTC 2026","4276","tests.APITests.Web_App_tests","test_Forms","TestForms","","","Given User is interacting with HabiPersona form, When user select different options say OPTION1, Then I should see the form behaviour changing as per the form conditions set",""
"passed","Sun Sep 13 03:06:36 UTC 2026","Sun Sep 13 03:06:37 UTC 2026","1080","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingNullFieldValidation","","","Food logging API: a null date is rejected","Checks a null date value is rejected with a 422 validation error, same as a missing field."
"passed","Sun Sep 13 03:03:58 UTC 2026","Sun Sep 13 03:04:01 UTC 2026","2874","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingMealTypeValidation","","","Food logging API: an invalid meal_type value is rejected","Checks a meal_type outside the allowed list is rejected with a 422 validation error."
"passed","Sun Sep 13 03:03:16 UTC 2026","Sun Sep 13 03:03:17 UTC 2026","589","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingQuantityValidation","","","Food logging API: a missing quantity is rejected","Checks omitting the quantity field entirely is rejected with a 422 validation error."
"passed","Sun Sep 13 03:04:15 UTC 2026","Sun Sep 13 03:04:18 UTC 2026","2619","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingServingUnitValidation","","","Food logging API: a missing serving_unit is rejected","Checks omitting the serving_unit field entirely is rejected with a 422 validation error."
"passed","Sun Sep 13 02:50:24 UTC 2026","Sun Sep 13 02:50:26 UTC 2026","1651","tests.APITests.Web_App_tests","test_CustomRecipes","TestCustomRecipes","","","test_viewCustomRecipe",""
"passed","Sun Sep 13 03:02:46 UTC 2026","Sun Sep 13 03:02:50 UTC 2026","3503","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingValidRequests","","","Food logging API: LUNCH meal_type is accepted","Checks logging a meal with meal_type LUNCH returns 200."
"passed","Sun Sep 13 03:07:28 UTC 2026","Sun Sep 13 03:07:54 UTC 2026","26284","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingCrossMealIsolation","","","Food logging API: deleting one of several meals on a date leaves the others intact","Checks deleting one logged meal does not remove other meals logged for the same date."
"passed","Sun Sep 13 02:50:54 UTC 2026","Sun Sep 13 02:50:54 UTC 2026","0","tests.APITests.Web_App_tests","test_Forms","TestForms","","","Given there are no forms configured for the user partner, Then I should not see any forms assigned to the user selected",""
"passed","Sun Sep 13 02:42:50 UTC 2026","Sun Sep 13 02:42:58 UTC 2026","7550","tests.APITests.Web_App_tests","test_AI_Chatbot","TestAI_Chatbot","","","Validate AI chatbot can respond to user messages",""
"passed","Sun Sep 13 02:57:07 UTC 2026","Sun Sep 13 02:57:13 UTC 2026","5591","tests.APITests.Web_App_tests","test_MyMeals","TestMyMeals","","","test_editMyMeals",""
"passed","Sun Sep 13 03:04:19 UTC 2026","Sun Sep 13 03:04:19 UTC 2026","415","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingAuthValidation","","","Food logging API: a request with no auth header is rejected","Checks POST /api/v1/meals without an Authorization header returns 401."
"passed","Sun Sep 13 03:03:31 UTC 2026","Sun Sep 13 03:03:40 UTC 2026","8967","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingQuantityValidation","","","Food logging API: a very large quantity is accepted","Checks a quantity of 999999 is accepted with 200, with no apparent upper bound enforced."
"passed","Sun Sep 13 02:43:30 UTC 2026","Sun Sep 13 02:43:30 UTC 2026","485","tests.APITests.Web_App_tests","test_AI_Chatbot","TestAI_Chatbot","","","Validate deleting chats in a specific session and verifying deletion","Test deleting chats in a specific session and validating deletion."
"passed","Sun Sep 13 03:06:28 UTC 2026","Sun Sep 13 03:06:35 UTC 2026","7056","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingEditAPI","","","Food logging API: PUT edit without auth is rejected","Checks PUT /api/v1/meals/{id} without an Authorization header returns 401."
"passed","Sun Sep 13 02:43:30 UTC 2026","Sun Sep 13 02:43:31 UTC 2026","501","tests.APITests.Web_App_tests","test_AI_Chatbot","TestAI_Chatbot","","","Validate all the chat sessions of a user",""
"passed","Sun Sep 13 03:03:46 UTC 2026","Sun Sep 13 03:03:46 UTC 2026","668","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingDateValidation","","","Food logging API: an empty string date is rejected","Checks an empty string date value is rejected with a 422 validation error."
"broken","Sun Sep 13 02:49:31 UTC 2026","Sun Sep 13 02:50:13 UTC 2026","42220","tests.APITests.Web_App_tests","test_BMI","TestUserBMI","","","test_BMI_on_coachesPortal_upon_updating_weight",""
"passed","Sun Sep 13 02:50:36 UTC 2026","Sun Sep 13 02:50:37 UTC 2026","696","tests.APITests.Web_App_tests","test_CustomRecipes","TestCustomRecipes","","","test_remove_customRecipe_fromFavorites",""
"passed","Sun Sep 13 02:50:55 UTC 2026","Sun Sep 13 02:50:59 UTC 2026","4351","tests.APITests.Web_App_tests","test_Forms","TestForms","","","Given the list of forms configured from FORM BUILDER, Then I should be able to fetch forms like Persona,GLP forms",""
"passed","Sun Sep 13 03:03:51 UTC 2026","Sun Sep 13 03:03:53 UTC 2026","2568","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingDateValidation","","","Food logging API: a far-past date is accepted","Documents that the API does not reject logging a meal for a date decades in the past."
"broken","Sun Sep 13 02:50:59 UTC 2026","Sun Sep 13 02:53:05 UTC 2026","125341","tests.APITests.Web_App_tests","test_Forms","TestForms","","","Given HabiPersona form triggered, When user Login to user portal, Then user should be able to see HabiPersona form in the first order and unless its submitted, other forms should not be visible and can't interact with the app",""
"passed","Sun Sep 13 03:04:52 UTC 2026","Sun Sep 13 03:04:54 UTC 2026","1866","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingGetAndDelete","","","Food logging API: GET meals with an invalid date format still succeeds","Documents that GET /api/v1/meals is lenient about malformed date filters, returning 200 rather than 422."
"passed","Sun Sep 13 02:57:06 UTC 2026","Sun Sep 13 02:57:06 UTC 2026","567","tests.APITests.Web_App_tests","test_MyMeals","TestMyMeals","","","test_validate_createdMyMeal_in_listView",""
"failed","Sun Sep 13 02:58:54 UTC 2026","Sun Sep 13 02:59:07 UTC 2026","13063","tests.APITests.Web_App_tests","test_Paywal","TestPaywal","","","Given a user has subscribed to the plan, When the user tries to access the application, Then the user should not be blocked and should have full access",""
"passed","Sun Sep 13 03:05:31 UTC 2026","Sun Sep 13 03:05:40 UTC 2026","9198","tests.APITests.Web_App_tests","test_food_logging_api","TestFoodLoggingEditAPI","","","Food logging API: a valid PUT edit succeeds","Checks PUT /api/v1/meals/{id} with a valid payload returns 200."
